event_time,merchant_id,txn_id,amount,currency,country,payment_method,auth_result,error_code,issuer_response,fraud_score,avs_result,three_ds,chargeback_flag
2026-01-26T09:07:18Z,M311,T252419,304.82,EUR,FR,card,APPROVED,,,28,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:07:45Z,M601,T158767,210.61,EUR,FR,card,APPROVED,,,65,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T09:07:59Z,M102,T547801,13.09,GBP,GB,card,APPROVED,,,42,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:08:06Z,M102,T655645,103.48,USD,US,card,FAILED,GATEWAY_TIMEOUT,,9,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:08:41Z,M450,T140206,13.37,SGD,SG,card,DECLINED,INSUFFICIENT_FUNDS,62,26,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:08:53Z,M450,T708162,211.8,GBP,GB,card,APPROVED,,,18,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:09:25Z,M311,T054036,51.69,SGD,SG,card,APPROVED,,,12,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:10:02Z,M311,T291788,10.97,USD,US,card,DECLINED,FRAUD_SUSPECTED,59,14,AVS_MATCH,CHALLENGE,0
2026-01-26T09:10:23Z,M601,T271820,13.17,EUR,FR,card,APPROVED,,,90,AVS_MISMATCH,FRICTIONLESS,1
2026-01-26T09:10:33Z,M311,T359215,10.6,EUR,DE,card,APPROVED,,,16,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:10:53Z,M311,T524628,12.83,USD,US,card,APPROVED,,,40,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:11:14Z,M601,T246665,10.01,USD,US,card,APPROVED,,,25,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:11:44Z,M311,T199806,20.31,SGD,SG,card,APPROVED,,,91,AVS_UNAVAILABLE,NOT_ATTEMPTED,1
2026-01-26T09:12:05Z,M522,T601203,12.57,EUR,FR,card,DECLINED,ISSUER_DO_NOT_HONOR,51,86,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:12:31Z,M450,T345250,19.46,SGD,SG,card,APPROVED,,,24,AVS_MATCH,CHALLENGE,0
2026-01-26T09:12:52Z,M102,T255767,13.0,USD,US,card,APPROVED,,,39,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:13:35Z,M522,T187547,308.75,EUR,FR,card,APPROVED,,,93,AVS_UNAVAILABLE,NOT_ATTEMPTED,1
2026-01-26T09:14:12Z,M601,T006934,106.45,GBP,GB,card,DECLINED,ISSUER_DO_NOT_HONOR,51,3,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:14:20Z,M311,T755607,10.62,INR,IN,card,APPROVED,,,1,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:14:41Z,M311,T809206,306.94,USD,US,card,APPROVED,,,84,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:14:58Z,M450,T500266,100.46,USD,US,card,APPROVED,,,89,AVS_MISMATCH,NOT_ATTEMPTED,1
2026-01-26T09:15:34Z,M522,T199048,209.28,EUR,DE,card,APPROVED,,,99,AVS_MATCH,NOT_ATTEMPTED,1
2026-01-26T09:16:07Z,M311,T591858,51.04,EUR,DE,card,APPROVED,,,12,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T09:16:35Z,M522,T647431,54.48,GBP,GB,card,APPROVED,,,21,AVS_MATCH,CHALLENGE,0
2026-01-26T09:17:01Z,M522,T923395,20.43,USD,US,card,APPROVED,,,26,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:17:29Z,M102,T619437,307.23,EUR,FR,card,APPROVED,,,7,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:18:01Z,M522,T074762,321.77,USD,US,card,DECLINED,INSUFFICIENT_FUNDS,05,71,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:18:09Z,M522,T764246,12.71,SGD,SG,card,APPROVED,,,39,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:18:21Z,M311,T437452,202.22,GBP,GB,card,APPROVED,,,64,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:18:37Z,M311,T744533,99.9,EUR,DE,card,APPROVED,,,73,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:18:45Z,M450,T780836,20.09,EUR,FR,card,APPROVED,,,65,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:19:17Z,M102,T940995,323.35,EUR,DE,card,APPROVED,,,55,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:19:51Z,M311,T976745,13.48,EUR,FR,card,APPROVED,,,67,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:19:58Z,M601,T654703,302.76,USD,US,card,DECLINED,INSUFFICIENT_FUNDS,51,83,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:20:40Z,M601,T238255,51.29,GBP,GB,card,APPROVED,,,69,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:20:46Z,M102,T426920,211.93,EUR,FR,card,APPROVED,,,64,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:21:12Z,M522,T042714,51.8,INR,IN,card,APPROVED,,,38,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:21:33Z,M522,T905900,10.94,EUR,DE,card,APPROVED,,,29,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:22:16Z,M102,T799319,50.25,GBP,GB,card,APPROVED,,,58,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:22:50Z,M522,T023919,20.26,USD,US,card,DECLINED,ISSUER_DO_NOT_HONOR,05,43,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:23:08Z,M450,T154374,20.46,EUR,FR,card,DECLINED,ISSUER_DO_NOT_HONOR,62,56,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:23:53Z,M522,T801063,13.51,EUR,FR,card,APPROVED,,,5,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:24:19Z,M450,T024993,10.25,SGD,SG,card,DECLINED,INSUFFICIENT_FUNDS,05,39,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T09:24:40Z,M522,T763337,313.75,EUR,FR,card,APPROVED,,,95,AVS_MISMATCH,NOT_ATTEMPTED,1
2026-01-26T09:24:50Z,M311,T451410,12.99,SGD,SG,card,APPROVED,,,9,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:25:34Z,M522,T148257,12.62,USD,US,card,DECLINED,FRAUD_SUSPECTED,59,58,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:25:46Z,M450,T412291,19.53,EUR,DE,card,APPROVED,,,95,AVS_MISMATCH,FRICTIONLESS,1
2026-01-26T09:25:55Z,M601,T400824,20.89,EUR,FR,card,APPROVED,,,84,AVS_MATCH,NOT_ATTEMPTED,1
2026-01-26T09:26:23Z,M102,T384279,19.44,USD,US,card,APPROVED,,,75,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:26:34Z,M450,T090798,106.03,INR,IN,card,APPROVED,,,48,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:26:59Z,M601,T501356,206.4,EUR,FR,card,APPROVED,,,27,AVS_MATCH,CHALLENGE,0
2026-01-26T09:27:09Z,M450,T407840,13.0,INR,IN,card,APPROVED,,,37,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:27:37Z,M522,T484841,12.99,INR,IN,card,APPROVED,,,1,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:27:42Z,M522,T512591,100.41,USD,US,card,APPROVED,,,80,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:28:18Z,M102,T660768,19.24,GBP,GB,card,DECLINED,FRAUD_SUSPECTED,59,62,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:29:03Z,M311,T353127,103.0,GBP,GB,card,DECLINED,ISSUER_DO_NOT_HONOR,05,24,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:29:20Z,M102,T556345,107.34,USD,US,card,APPROVED,,,42,AVS_MATCH,CHALLENGE,0
2026-01-26T09:29:52Z,M601,T944688,206.31,EUR,FR,card,APPROVED,,,3,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T09:30:27Z,M450,T506077,10.06,EUR,FR,card,APPROVED,,,12,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:31:04Z,M522,T978194,10.74,USD,US,card,APPROVED,,,18,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:31:19Z,M311,T182815,320.56,INR,IN,card,APPROVED,,,45,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:31:54Z,M601,T119681,101.6,GBP,GB,card,APPROVED,,,48,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:32:15Z,M450,T581963,314.87,USD,US,card,DECLINED,FRAUD_SUSPECTED,59,58,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:32:43Z,M601,T269253,54.94,EUR,DE,card,APPROVED,,,43,AVS_MATCH,CHALLENGE,0
2026-01-26T09:33:25Z,M102,T458126,20.39,INR,IN,card,APPROVED,,,38,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:33:31Z,M450,T431381,10.56,USD,US,card,APPROVED,,,46,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:33:36Z,M102,T420653,201.97,GBP,GB,card,APPROVED,,,19,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:34:18Z,M522,T542070,108.28,EUR,FR,card,APPROVED,,,1,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:34:58Z,M311,T681330,12.68,INR,IN,card,APPROVED,,,83,AVS_UNAVAILABLE,NOT_ATTEMPTED,1
2026-01-26T09:35:33Z,M522,T619261,99.06,INR,IN,card,FAILED,GATEWAY_TIMEOUT,,60,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T09:35:54Z,M601,T298051,10.26,INR,IN,card,APPROVED,,,88,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:36:14Z,M450,T296669,13.68,INR,IN,card,APPROVED,,,50,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:36:49Z,M102,T735510,314.87,EUR,FR,card,DECLINED,ISSUER_DO_NOT_HONOR,57,56,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:37:01Z,M450,T066670,108.2,USD,US,card,DECLINED,FRAUD_SUSPECTED,59,90,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:37:43Z,M601,T220997,13.52,EUR,DE,card,DECLINED,INSUFFICIENT_FUNDS,05,9,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:37:53Z,M102,T232390,204.72,INR,IN,card,APPROVED,,,97,AVS_UNAVAILABLE,FRICTIONLESS,1
2026-01-26T09:38:21Z,M601,T044737,327.82,EUR,DE,card,APPROVED,,,37,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:39:00Z,M102,T027904,13.39,SGD,SG,card,APPROVED,,,37,AVS_MATCH,CHALLENGE,0
2026-01-26T09:39:36Z,M522,T922641,323.68,INR,IN,card,APPROVED,,,66,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:40:21Z,M601,T438080,53.93,USD,US,card,DECLINED,ISSUER_DO_NOT_HONOR,05,81,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:40:39Z,M601,T915660,19.81,EUR,DE,card,APPROVED,,,49,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:41:21Z,M522,T462236,100.54,EUR,DE,card,APPROVED,,,95,AVS_MISMATCH,FRICTIONLESS,1
2026-01-26T09:41:41Z,M601,T351319,12.83,SGD,SG,card,APPROVED,,,20,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T09:41:52Z,M522,T221928,201.02,GBP,GB,card,APPROVED,,,19,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:42:26Z,M522,T416479,10.39,USD,US,card,APPROVED,,,65,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:42:58Z,M522,T664360,104.82,INR,IN,card,DECLINED,ISSUER_DO_NOT_HONOR,51,86,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:43:29Z,M311,T085688,310.96,GBP,GB,card,APPROVED,,,55,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:43:54Z,M102,T791384,54.15,USD,US,card,APPROVED,,,70,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:44:12Z,M450,T263719,52.55,INR,IN,card,APPROVED,,,53,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:44:39Z,M522,T966513,10.24,INR,IN,card,APPROVED,,,2,AVS_MATCH,CHALLENGE,0
2026-01-26T09:45:09Z,M522,T864529,13.74,SGD,SG,card,APPROVED,,,22,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:45:36Z,M522,T183823,215.53,INR,IN,card,APPROVED,,,38,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:45:57Z,M102,T346081,202.7,EUR,FR,card,DECLINED,ISSUER_DO_NOT_HONOR,57,36,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:46:21Z,M601,T620265,10.08,EUR,FR,card,DECLINED,INSUFFICIENT_FUNDS,05,18,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:46:40Z,M311,T669095,312.51,GBP,GB,card,APPROVED,,,52,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:47:25Z,M311,T852214,13.12,EUR,DE,card,APPROVED,,,95,AVS_MISMATCH,NOT_ATTEMPTED,1
2026-01-26T09:47:33Z,M522,T808456,54.52,EUR,FR,card,APPROVED,,,22,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:48:07Z,M102,T066939,52.08,EUR,DE,card,APPROVED,,,47,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:48:44Z,M311,T106375,53.78,EUR,FR,card,APPROVED,,,92,AVS_MISMATCH,NOT_ATTEMPTED,1
2026-01-26T09:49:02Z,M450,T845259,51.7,EUR,DE,card,APPROVED,,,38,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:49:38Z,M450,T354531,19.37,USD,US,card,APPROVED,,,82,AVS_MATCH,FRICTIONLESS,1
2026-01-26T09:49:45Z,M601,T666656,326.55,GBP,GB,card,FAILED,GATEWAY_TIMEOUT,,8,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:50:03Z,M311,T796387,211.61,USD,US,card,APPROVED,,,24,AVS_MATCH,CHALLENGE,0
2026-01-26T09:50:43Z,M311,T559458,20.64,INR,IN,card,APPROVED,,,41,AVS_MATCH,CHALLENGE,0
2026-01-26T09:51:14Z,M522,T599441,217.28,SGD,SG,card,APPROVED,,,88,AVS_MISMATCH,NOT_ATTEMPTED,1
2026-01-26T09:51:49Z,M522,T982142,13.28,GBP,GB,card,APPROVED,,,88,AVS_UNAVAILABLE,FRICTIONLESS,1
2026-01-26T09:52:30Z,M311,T706749,53.66,GBP,GB,card,DECLINED,INSUFFICIENT_FUNDS,51,47,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T09:52:51Z,M102,T037184,199.64,USD,US,card,APPROVED,,,84,AVS_UNAVAILABLE,NOT_ATTEMPTED,1
2026-01-26T09:52:59Z,M522,T366437,20.8,EUR,DE,card,APPROVED,,,22,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:53:21Z,M102,T369863,19.56,SGD,SG,card,APPROVED,,,84,AVS_UNAVAILABLE,NOT_ATTEMPTED,1
2026-01-26T09:53:53Z,M522,T632197,51.93,GBP,GB,card,APPROVED,,,30,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:54:00Z,M601,T305727,303.21,EUR,DE,card,APPROVED,,,71,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:54:19Z,M522,T774087,99.57,EUR,DE,card,APPROVED,,,27,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:54:38Z,M450,T111735,104.16,EUR,FR,card,DECLINED,ISSUER_DO_NOT_HONOR,51,67,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:55:08Z,M102,T671535,303.46,SGD,SG,card,DECLINED,INSUFFICIENT_FUNDS,57,64,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:55:14Z,M601,T920456,10.19,USD,US,card,APPROVED,,,73,AVS_MATCH,CHALLENGE,0
2026-01-26T09:55:27Z,M311,T058499,300.13,EUR,DE,card,DECLINED,FRAUD_SUSPECTED,59,49,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:55:36Z,M102,T569634,206.91,SGD,SG,card,FAILED,GATEWAY_TIMEOUT,,12,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:55:51Z,M311,T998077,13.74,EUR,DE,card,APPROVED,,,33,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:56:26Z,M102,T713214,10.13,USD,US,card,DECLINED,INSUFFICIENT_FUNDS,62,87,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:56:41Z,M102,T929881,13.51,EUR,FR,card,APPROVED,,,25,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:57:14Z,M102,T461207,54.2,USD,US,card,APPROVED,,,44,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:57:54Z,M450,T283143,54.34,GBP,GB,card,APPROVED,,,32,AVS_MATCH,FRICTIONLESS,0
2026-01-26T09:58:29Z,M102,T422239,13.72,USD,US,card,APPROVED,,,86,AVS_MATCH,NOT_ATTEMPTED,1
2026-01-26T09:58:49Z,M522,T908310,10.38,GBP,GB,card,DECLINED,INSUFFICIENT_FUNDS,51,8,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:59:27Z,M102,T117710,12.95,EUR,DE,card,DECLINED,INSUFFICIENT_FUNDS,51,28,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:59:37Z,M450,T785207,208.86,SGD,SG,card,APPROVED,,,18,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T10:00:08Z,M450,T094821,10.51,INR,IN,card,APPROVED,,,82,AVS_MISMATCH,FRICTIONLESS,1
2026-01-26T10:00:36Z,M601,T990328,13.38,USD,US,card,APPROVED,,,1,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T10:01:01Z,M102,T408120,310.4,INR,IN,card,APPROVED,,,14,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:01:45Z,M450,T972864,12.63,GBP,GB,card,APPROVED,,,4,AVS_MATCH,FRICTIONLESS,0
2026-01-26T10:02:05Z,M102,T457118,50.5,INR,IN,card,FAILED,GATEWAY_TIMEOUT,,6,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T10:02:44Z,M311,T189348,13.58,SGD,SG,card,APPROVED,,,60,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:03:22Z,M102,T785934,54.84,USD,US,card,DECLINED,ISSUER_DO_NOT_HONOR,57,44,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T10:04:02Z,M450,T011326,19.98,USD,US,card,APPROVED,,,55,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T10:04:21Z,M522,T696680,54.84,GBP,GB,card,APPROVED,,,6,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T10:04:32Z,M522,T361595,10.51,EUR,DE,card,APPROVED,,,6,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T10:04:54Z,M311,T952772,52.94,USD,US,card,APPROVED,,,66,AVS_MATCH,CHALLENGE,0
2026-01-26T10:05:28Z,M522,T834803,210.35,SGD,SG,card,APPROVED,,,91,AVS_MISMATCH,CHALLENGE,0
2026-01-26T10:05:45Z,M601,T332820,102.79,SGD,SG,card,APPROVED,,,46,AVS_MATCH,FRICTIONLESS,0
2026-01-26T10:05:51Z,M450,T837596,99.66,GBP,GB,card,APPROVED,,,8,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:06:05Z,M311,T857774,20.27,EUR,FR,card,APPROVED,,,79,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:06:50Z,M311,T754954,217.2,INR,IN,card,APPROVED,,,14,AVS_MATCH,CHALLENGE,0
2026-01-26T10:07:12Z,M522,T235337,100.1,SGD,SG,card,APPROVED,,,37,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:07:48Z,M601,T328396,51.49,EUR,FR,card,APPROVED,,,19,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T10:08:08Z,M102,T253648,13.72,EUR,DE,card,APPROVED,,,33,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:08:40Z,M601,T024569,51.78,EUR,FR,card,APPROVED,,,58,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T10:08:54Z,M522,T581398,52.42,GBP,GB,card,FAILED,GATEWAY_TIMEOUT,,76,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T10:09:31Z,M450,T125511,10.65,GBP,GB,card,APPROVED,,,66,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T10:10:16Z,M601,T600759,100.06,SGD,SG,card,DECLINED,FRAUD_SUSPECTED,59,82,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T10:10:46Z,M102,T265954,99.15,USD,US,card,APPROVED,,,64,AVS_UNAVAILABLE,NOT_ATTEMPTED,0
2026-01-26T10:10:58Z,M601,T944486,13.15,GBP,GB,card,APPROVED,,,13,AVS_MATCH,FRICTIONLESS,0
2026-01-26T10:11:40Z,M450,T095343,13.39,EUR,DE,card,APPROVED,,,5,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T10:11:48Z,M102,T215108,52.9,GBP,GB,card,APPROVED,,,80,AVS_MATCH,FRICTIONLESS,0
2026-01-26T10:12:22Z,M522,T372384,53.0,EUR,DE,card,DECLINED,FRAUD_SUSPECTED,59,9,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T10:12:42Z,M522,T338369,12.71,USD,US,card,APPROVED,,,38,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T10:13:14Z,M311,T063170,101.42,EUR,DE,card,APPROVED,,,45,AVS_MATCH,CHALLENGE,0
2026-01-26T10:13:36Z,M601,T373929,322.55,SGD,SG,card,APPROVED,,,31,AVS_MATCH,CHALLENGE,0
2026-01-26T10:14:13Z,M311,T545176,13.57,GBP,GB,card,DECLINED,INSUFFICIENT_FUNDS,57,34,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:14:23Z,M522,T330183,307.09,SGD,SG,card,APPROVED,,,92,AVS_UNAVAILABLE,FRICTIONLESS,1
2026-01-26T10:14:34Z,M601,T321724,108.05,USD,US,card,FAILED,GATEWAY_TIMEOUT,,25,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T10:15:08Z,M311,T807494,216.14,INR,IN,card,DECLINED,INSUFFICIENT_FUNDS,57,23,AVS_MATCH,CHALLENGE,0
2026-01-26T10:15:53Z,M450,T464717,12.86,USD,US,card,DECLINED,INSUFFICIENT_FUNDS,05,94,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T10:16:33Z,M311,T724630,211.7,EUR,DE,card,APPROVED,,,30,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:16:56Z,M102,T729706,316.5,USD,US,card,DECLINED,FRAUD_SUSPECTED,59,88,AVS_MATCH,FRICTIONLESS,0
2026-01-26T10:17:26Z,M450,T967864,107.2,INR,IN,card,APPROVED,,,45,AVS_MISMATCH,CHALLENGE,0
2026-01-26T10:17:34Z,M601,T078259,203.1,INR,IN,card,DECLINED,ISSUER_DO_NOT_HONOR,51,100,AVS_MATCH,CHALLENGE,0
2026-01-26T10:18:19Z,M102,T231762,101.58,GBP,GB,card,APPROVED,,,45,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T10:18:39Z,M311,T815385,105.85,USD,US,card,DECLINED,INSUFFICIENT_FUNDS,51,45,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T10:18:54Z,M522,T040831,202.08,INR,IN,card,DECLINED,ISSUER_DO_NOT_HONOR,57,52,AVS_MATCH,FRICTIONLESS,0
2026-01-26T10:19:18Z,M522,T504947,10.15,EUR,FR,card,APPROVED,,,47,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T10:19:44Z,M522,T330267,101.62,INR,IN,card,DECLINED,FRAUD_SUSPECTED,59,63,AVS_MATCH,NOT_ATTEMPTED,0
2026-01-26T10:20:05Z,M102,T395861,12.6,INR,IN,card,APPROVED,,,51,AVS_MATCH,CHALLENGE,0
